강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 제주
기간 : 20190901~20191031

날짜,지점,강수량(mm)
2019-09-01,184,26.1
2019-09-02,184,25.7
2019-09-03,184,13.9
2019-09-04,184,43
2019-09-05,184,7
2019-09-06,184,68.8
2019-09-07,184,34.3
2019-09-08,184,19
2019-09-09,184,24.7
2019-09-10,184,0
2019-09-11,184,5
2019-09-12,184,0.6
2019-09-13,184,
2019-09-14,184,
2019-09-15,184,
2019-09-16,184,0
2019-09-17,184,
2019-09-18,184,
2019-09-19,184,
2019-09-20,184,0
2019-09-21,184,156
2019-09-22,184,126.2
2019-09-23,184,0
2019-09-24,184,
2019-09-25,184,
2019-09-26,184,1
2019-09-27,184,36
2019-09-28,184,0.7
2019-09-29,184,0
2019-09-30,184,22.6
2019-10-01,184,36.3
2019-10-02,184,136.2
2019-10-03,184,0.2
2019-10-04,184,
2019-10-05,184,
2019-10-06,184,1
2019-10-07,184,0
2019-10-08,184,
2019-10-09,184,
2019-10-10,184,
2019-10-11,184,
2019-10-12,184,
2019-10-13,184,
2019-10-14,184,
2019-10-15,184,3.2
2019-10-16,184,
2019-10-17,184,
2019-10-18,184,8.3
2019-10-19,184,0
2019-10-20,184,
2019-10-21,184,
2019-10-22,184,0.5
2019-10-23,184,0.6
2019-10-24,184,2.3
2019-10-25,184,
2019-10-26,184,
2019-10-27,184,
2019-10-28,184,
2019-10-29,184,
2019-10-30,184,
2019-10-31,184,
