기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 제주
기간 : 20190901~20191031

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-09-01,184,23.3,20.6,26.3
2019-09-02,184,24.1,21.9,26.6
2019-09-03,184,24.8,22.4,26.7
2019-09-04,184,24.7,23.7,27.9
2019-09-05,184,26.2,23.4,30.4
2019-09-06,184,26.8,25.1,28.6
2019-09-07,184,27.6,24.9,30.3
2019-09-08,184,24.5,23.4,26.3
2019-09-09,184,26.2,23.7,29
2019-09-10,184,27,24,29.4
2019-09-11,184,26,24.1,29.3
2019-09-12,184,24.1,23,25.1
2019-09-13,184,24,22.1,26.7
2019-09-14,184,24.3,21.7,26.9
2019-09-15,184,24.6,22.9,26.9
2019-09-16,184,24.6,23.6,27
2019-09-17,184,23.8,22,25.8
2019-09-18,184,23.3,20.6,27.6
2019-09-19,184,22.8,19.3,25.9
2019-09-20,184,22.5,19.9,25
2019-09-21,184,20.5,19.1,21.7
2019-09-22,184,20.4,19.1,21.7
2019-09-23,184,21,18.4,24.5
2019-09-24,184,20.4,16.7,25.2
2019-09-25,184,21.8,18.3,25.2
2019-09-26,184,23.8,21.3,27.7
2019-09-27,184,23.8,22.7,25.7
2019-09-28,184,24.1,23.1,25.6
2019-09-29,184,24.1,22.9,26.3
2019-09-30,184,23.6,22,26.8
2019-10-01,184,23.4,20.5,26.4
2019-10-02,184,24.8,20.6,27.3
2019-10-03,184,23.4,21.9,26.2
2019-10-04,184,23.1,21.2,26.1
2019-10-05,184,20.8,18.4,23.2
2019-10-06,184,20.8,17,24.6
2019-10-07,184,21.8,20.2,23.6
2019-10-08,184,20.5,17.4,24
2019-10-09,184,17.6,14.2,21.5
2019-10-10,184,19,14,23.1
2019-10-11,184,21,17.1,23.9
2019-10-12,184,21.4,18.7,24.8
2019-10-13,184,19.7,17.1,22.8
2019-10-14,184,19.3,16.7,23.2
2019-10-15,184,17.4,15.2,19.1
2019-10-16,184,18.1,15.8,21.3
2019-10-17,184,19.3,16.2,21.8
2019-10-18,184,19.1,18.1,20.5
2019-10-19,184,19.8,17.7,22.7
2019-10-20,184,19.1,15.4,21.8
2019-10-21,184,19.9,17.4,22.9
2019-10-22,184,20.8,18.6,22.5
2019-10-23,184,20.3,19.2,21.8
2019-10-24,184,20.1,18.4,22.3
2019-10-25,184,20.1,16.8,23.5
2019-10-26,184,16.5,15.5,19.4
2019-10-27,184,16,13.7,18.7
2019-10-28,184,15.7,11.9,19.2
2019-10-29,184,17.9,15.2,20.8
2019-10-30,184,16.3,13.7,19.5
2019-10-31,184,16.5,12.1,20.7

